OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
2024-095C,2024-095C,2026-02-07T23:00:23.330304,15.57499480,.00054215,97.5496,136.5568,225.5116,134.5696,0,U,59812,999,9593,.12397882E-2,.9199E-3,0
2024-095D,2024-095D,2026-02-05T11:15:26.811648,15.74045253,.00048643,97.5395,137.5489,259.6265,100.4451,0,U,59813,999,9579,.19399471E-2,.284865E-2,0
STARLINK-31947,2024-097A,2026-02-07T04:22:21.618624,15.27583435,.0001639,43.0036,86.4327,259.9414,100.1253,0,U,59835,999,9725,.41161335E-3,.11083E-3,0
STARLINK-31929,2024-097B,2026-02-07T11:36:22.365216,15.27575184,.00006598,43.0025,85.2526,14.6572,345.4298,0,U,59836,999,9729,-.3907752E-4,-.1337E-4,0
STARLINK-31927,2024-097C,2026-02-07T04:48:15.558048,15.27582898,.00040479,43.0076,86.5702,300.8283,59.2170,0,U,59837,999,9725,.23698312E-3,.6265E-4,0
STARLINK-31855,2024-097D,2026-02-07T04:16:49.149696,15.27599411,.00014767,42.9938,86.3888,140.2650,219.8310,0,U,59838,999,9725,.10444563E-2,.28608E-3,0
STARLINK-31887,2024-097E,2026-02-07T11:41:54.557664,15.27584727,.00007434,42.9975,85.2751,229.0610,131.0178,0,U,59839,999,9729,-.12840253E-4,-.615E-5,0
STARLINK-31852,2024-097G,2026-02-07T11:09:47.567232,15.27574613,.00003129,42.9971,77.3258,322.1629,37.9201,0,U,59841,999,9738,.21450602E-4,.329E-5,0
STARLINK-31906,2024-097H,2026-02-07T16:00:01.999584,15.27562603,.0001215,43.0003,84.0322,304.8938,61.1065,0,U,59842,999,567,.20062649E-2,.55332E-3,0
STARLINK-31857,2024-097J,2026-02-07T08:50:02.073120,15.27580330,.00011087,43.0039,85.2408,289.3195,70.7537,0,U,59843,999,9728,.50628568E-4,.1131E-4,0
STARLINK-31851,2024-097K,2026-02-07T04:27:55.577088,15.27577256,.0000998,43.0034,86.4598,270.6955,89.3782,0,U,59844,999,9725,-.23647359E-4,-.913E-5,0
STARLINK-31903,2024-097L,2026-02-07T03:04:23.171808,15.27583621,.00014142,42.9982,79.9515,275.4676,84.6014,0,U,59845,999,9732,.15446568E-4,.163E-5,0
STARLINK-31922,2024-097M,2026-02-07T04:13:07.137120,15.27578766,.00005557,43.0027,86.3732,236.6949,123.3850,0,U,59846,999,9725,-.6397683E-5,-.438E-5,0
STARLINK-31889,2024-097N,2026-02-05T12:44:35.650752,15.27592482,.0000993,42.9991,96.3979,280.4301,79.6439,0,U,59847,999,9699,.12141E-3,.3082E-4,0
STARLINK-31859,2024-097P,2026-02-07T11:04:27.467328,15.27550074,.00007207,42.9981,78.1599,330.6860,29.3951,0,U,59848,999,9737,.14746708E-3,.3795E-4,0
STARLINK-31895,2024-097Q,2026-02-06T05:01:08.738688,15.27566922,.0003742,43.0044,92.0277,306.3218,53.7287,0,U,59849,999,9710,-.37197E-4,-.1286E-4,0
STARLINK-31899,2024-097R,2026-02-07T04:39:01.759968,15.27578884,.0001096,43.0067,86.5187,246.7931,113.2805,0,U,59850,999,9725,.10318055E-4,.22E-6,0
STARLINK-31896,2024-097S,2026-02-07T03:10:24.713472,15.27584655,.0001421,43.0008,86.9126,248.1835,111.8865,0,U,59851,999,9724,.68200268E-4,.1615E-4,0
STARLINK-31892,2024-097U,2026-02-07T11:27:06.862464,15.27571114,.00005634,42.9943,85.1972,174.6459,185.4398,0,U,59853,999,9729,.64124E-7,-.26E-5,0
STARLINK-31891,2024-097V,2026-02-07T11:32:38.800032,15.27614125,.00010741,42.9975,85.2237,225.8272,134.2491,0,U,59854,999,9729,-.28541111E-3,-.8115E-4,0
STARLINK-31882,2024-097W,2026-02-07T10:58:53.630688,15.27578762,.00008638,42.9975,78.1169,279.5571,80.5183,0,U,59855,999,9737,.9882382E-5,.1E-6,0
STARLINK-31691,2024-097X,2026-02-07T04:02:02.124096,15.27535301,.00011292,42.9998,86.3152,251.6765,108.3964,0,U,59856,999,9725,.39305432E-3,.10555E-3,0
STARLINK-31569,2024-097Y,2026-02-07T04:53:49.805952,15.27580892,.000178,43.0019,86.5932,284.7399,75.3256,0,U,59857,999,9725,.59362E-4,.1372E-4,0
